int_no,x,y,rue_1,rue_2,date_,all_pedest,pi,fi,fli,fri,fti,cli,cri,cti,acc,tot_crossw,number_of_,avg_crossw,tot_road_w,median,green_stra,half_phase,any_ped_pr,ped_countd,lt_protect,lt_restric,lt_prot_re,parking,north_veh,north_ped,east_veh,east_ped,south_veh,south_ped,west_veh,west_ped,total_lane,of_exclusi,any_exclus,commercial,curb_exten,all_red_an,new_half_r,distdt,borough,acc_rate
40,296397.3125,5037515.0,Côte-Saint-Antoine,Hampton/Sherbrooke,27/02/2009,0,0.0,2603.82788085938,0.0,0.0,2603.82788085938,0.0,0.0,0.0,0,77.4000015258789,4,19.3999996185303,53.7000007629395,1,0,1,1,1,1,1,1,1.0,0.0,0.0,2603.82788085938,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,1,3932.07690429688,C¶te-des-Neiges-Notre-Dame-de-Graces,0.0
263,300293.3125,5038406.5,Centre,Wellington,20/11/2007,0,0.0,7816.0517578125,1251.560546875,777.9970703125,5786.494140625,0.0,0.0,0.0,0,51.9000015258789,3,17.2999992370605,40.4000015258789,0,0,1,1,1,0,1,1,0.0,1251.560546875,0.0,2595.57861328125,0.0,112.753204345703,0.0,3856.15942382812,0.0,4,0,0,1,0,0,1,2097.06005859375,Sud-Ouest,0.0
1107,301317.09375,5039803.0,Pierre-Dupuy,Habitats 67,09/09/2009,0,0.0,8896.671875,282.226379394531,54.2024154663086,8560.2431640625,0.0,0.0,0.0,0,27.0,2,13.5,27.5,0,0,0,0,0,1,1,1,0.0,0.0,0.0,3762.39526367188,0.0,336.428771972656,0.0,4797.84814453125,0.0,4,0,0,2,1,0,0,2112.1640625,Ville-Marie,0.0
1364,299985.875,5037138.5,Charlevoix,Wellington,10/12/2007,0,0.0,10932.7548828125,1303.22595214844,1884.36083984375,7745.16796875,0.0,0.0,0.0,0,48.2000007629395,4,12.0,31.0,0,0,0,0,0,0,0,0,0.0,1449.1279296875,0.0,4785.08935546875,0.0,182.995666503906,0.0,4515.5419921875,0.0,2,0,0,0,0,0,0,3172.77001953125,Sud-Ouest,0.0
225,297859.78125,5036983.0,Courcelle,Notre-Dame,15/11/2006,0,0.0,10479.296875,1227.44995117188,1450.41369628906,7801.4326171875,0.0,0.0,0.0,0,57.0999984741211,4,14.3000001907349,44.9000015258789,0,0,0,0,0,0,0,0,1.0,1758.42553710938,0.0,4650.05859375,0.0,1284.91479492188,0.0,2785.89770507812,0.0,2,0,0,0,0,0,0,3525.40600585938,Sud-Ouest,0.0
1728,299490.78125,5034638.5,Egan,LaSalle,14/11/2007,0,0.0,14704.115234375,2974.38256835938,3367.4423828125,8362.2900390625,0.0,0.0,0.0,0,32.2999992370605,4,8.10000038146973,30.0,0,0,0,0,0,0,1,1,0.0,3461.68481445312,0.0,4463.8720703125,0.0,3624.88500976562,0.0,3153.6728515625,0.0,1,0,0,0,0,0,0,5590.80712890625,Verdun,0.0
1623,301991.65625,5050324.5,Boucherville,Bretelle Sherbrooke (acc.BUS),10/06/2009,0,0.0,16738.3359375,1.84444499015808,47.95556640625,16688.537109375,0.0,0.0,0.0,0,27.7000007629395,3,9.19999980926514,22.8999996185303,0,0,0,0,0,0,1,1,0.0,16705.13671875,0.0,0.0,0.0,0.0,0.0,33.200008392334,0.0,2,0,0,0,0,0,0,10466.4599609375,Mercier-Hochelaga-Maisonneuve,0.0
978,300340.0625,5038786.0,Saint-Patrick,Wellington,28/11/2007,0,0.0,20135.6953125,1910.1328125,1572.2392578125,16653.32421875,0.0,0.0,0.0,0,50.4000015258789,3,16.7999992370605,42.2000007629395,1,0,0,0,0,1,1,1,0.0,2574.4267578125,0.0,7392.28271484375,0.0,0.0,0.0,10168.986328125,0.0,2,1,1,0,0,0,0,1805.95397949219,Sud-Ouest,0.0
382,300450.15625,5039596.5,Duke,Wellington,27/11/2007,0,0.0,17174.568359375,5376.07275390625,2381.34765625,9417.1474609375,0.0,0.0,0.0,0,68.1999969482422,4,17.1000003814697,55.2999992370605,1,1,0,1,1,1,1,1,0.0,0.0,0.0,2521.16162109375,0.0,9611.0830078125,0.0,5042.3232421875,0.0,4,1,1,0,0,0,0,1356.64697265625,Ville-Marie,0.0
944,303228.5,5049926.0,Curatteau,Tellier,10/08/2009,0,0.0,20766.853515625,4338.240234375,6737.94775390625,9690.666015625,0.0,0.0,0.0,0,53.5,3,17.7999992370605,31.0,1,0,0,0,0,1,1,1,0.0,6733.95458984375,0.0,0.0,0.0,12779.1416015625,0.0,1253.75732421875,0.0,5,2,1,0,0,0,0,10487.1552734375,Mercier-Hochelaga-Maisonneuve,0.0
